company,column,source,is_real
Sea Limited,ai_earnings_mentions,calibrated,no
Sea Limited,ai_job_pct,calibrated,no
Sea Limited,ai_patent_count,calibrated,no
Sea Limited,board_independence_pct,calibrated,no
Sea Limited,board_independence_pct_trend,calibrated,no
Sea Limited,company,calibrated,no
Sea Limited,company_stage,calibrated,no
Sea Limited,controversy_flags_12mo,calibrated,no
Sea Limited,controversy_flags_e,calibrated,no
Sea Limited,controversy_flags_g,calibrated,no
Sea Limited,controversy_flags_s,calibrated,no
Sea Limited,controversy_intensity_e,calibrated,no
Sea Limited,controversy_intensity_g,calibrated,no
Sea Limited,controversy_intensity_s,calibrated,no
Sea Limited,country,calibrated,no
Sea Limited,data_source,calibrated,no
Sea Limited,diversity_women_pct,calibrated,no
Sea Limited,diversity_women_pct_trend,calibrated,no
Sea Limited,emissions_intensity,calibrated,no
Sea Limited,emissions_intensity_trend,calibrated,no
Sea Limited,employee_sentiment_trend,calibrated,no
Sea Limited,env_fines_12mo,calibrated,no
Sea Limited,esg_cagr_5yr,calibrated,no
Sea Limited,esg_e_cagr,calibrated,no
Sea Limited,esg_e_today,calibrated,no
Sea Limited,esg_g_cagr,calibrated,no
Sea Limited,esg_g_today,calibrated,no
Sea Limited,esg_s_cagr,calibrated,no
Sea Limited,esg_s_today,calibrated,no
Sea Limited,esg_score_5yr_ago,calibrated,no
Sea Limited,esg_score_today,calibrated,no
Sea Limited,exec_turnover_12mo,calibrated,no
Sea Limited,green_capex_pct,calibrated,no
Sea Limited,green_capex_pct_trend,calibrated,no
Sea Limited,hires_6mo,calibrated,no
Sea Limited,hires_growth,calibrated,no
Sea Limited,hires_per_m_rev,calibrated,no
Sea Limited,hires_prev_6mo,calibrated,no
Sea Limited,insider_sell_ratio,calibrated,no
Sea Limited,labour_controversy_12mo,calibrated,no
Sea Limited,litigation_actions_12mo,calibrated,no
Sea Limited,pb_ratio,calibrated,no
Sea Limited,pe_ratio,calibrated,no
Sea Limited,renewable_pct,calibrated,no
Sea Limited,renewable_pct_trend,calibrated,no
Sea Limited,rev_growth_yoy,calibrated,no
Sea Limited,revenue_usd_b,calibrated,no
Sea Limited,say_do_gap,calibrated,no
Sea Limited,sector,calibrated,no
Sea Limited,sentiment_score,calibrated,no
Sea Limited,sentiment_trend,calibrated,no
Sea Limited,stated_commitments,calibrated,no
Sea Limited,ticker,calibrated,no
Grab Holdings,ai_earnings_mentions,calibrated,no
Grab Holdings,ai_job_pct,calibrated,no
Grab Holdings,ai_patent_count,calibrated,no
Grab Holdings,board_independence_pct,calibrated,no
Grab Holdings,board_independence_pct_trend,calibrated,no
Grab Holdings,company,calibrated,no
Grab Holdings,company_stage,calibrated,no
Grab Holdings,controversy_flags_12mo,calibrated,no
Grab Holdings,controversy_flags_e,calibrated,no
